Day,Time,Website,Hop No,IP,Time1,Time2,Time3
09 Apr,16:00:02,www.harenet.ad.jp,1,192.168.25.1,0.653,0.592,0.515
09 Apr,16:00:02,www.harenet.ad.jp,2,139.222.0.1,10.905,15.978,21.841
09 Apr,16:00:02,www.harenet.ad.jp,3,10.0.0.1,4.259,7.012,10.090
09 Apr,16:00:02,www.harenet.ad.jp,4,193.62.92.125,1.199,1.144,1.105
09 Apr,16:00:02,www.harenet.ad.jp,5,10.11.1.0,1.435,1.379,1.419
09 Apr,16:00:02,www.harenet.ad.jp,6,146.97.141.116,4.186,4.243,4.192
09 Apr,16:00:02,www.harenet.ad.jp,7,146.97.38.49,4.351,4.675,4.552
09 Apr,16:00:02,www.harenet.ad.jp,8,146.97.33.61,4.515,4.634,4.586
09 Apr,16:00:02,www.harenet.ad.jp,9,146.97.35.194,4.666,4.554,4.543
09 Apr,16:00:02,www.harenet.ad.jp,10,62.115.175.106,4.595,4.488,4.769
09 Apr,16:00:02,www.harenet.ad.jp,11,62.115.142.244,7.067,7.102,7.028
09 Apr,16:00:02,www.harenet.ad.jp,12,62.115.138.216,5.215,5.148,5.071
09 Apr,16:00:02,www.harenet.ad.jp,13,62.115.135.25,12.562,11.268,12.236
09 Apr,16:00:02,www.harenet.ad.jp,14,62.115.138.227,24.839,24.806,24.387
09 Apr,16:00:02,www.harenet.ad.jp,15,62.115.113.3,157.989,158.847,161.090
09 Apr,16:00:02,www.harenet.ad.jp,16,62.115.136.145,229.742,234.693,242.203
09 Apr,16:00:02,www.harenet.ad.jp,18,213.248.82.234,238.029,225.900,254.226
09 Apr,16:00:02,www.harenet.ad.jp,20,211.125.114.65,249.046,238.059,241.477
09 Apr,16:00:02,www.harenet.ad.jp,21,103.14.13.3,244.917,257.942,241.715
09 Apr,20:00:02,www.washington.edu,1,192.168.25.1,1.173,1.147,0.521
09 Apr,20:00:02,www.washington.edu,2,139.222.0.1,4.504,7.348,10.554
09 Apr,20:00:02,www.washington.edu,3,10.0.0.1,6.326,11.520,14.671
09 Apr,20:00:02,www.washington.edu,4,193.62.92.125,1.682,1.789,1.739
09 Apr,20:00:02,www.washington.edu,5,10.11.1.0,1.975,1.943,1.911
09 Apr,20:00:02,www.washington.edu,6,146.97.141.116,4.629,4.545,4.190
09 Apr,20:00:02,www.washington.edu,7,146.97.38.49,4.726,6.417,6.351
09 Apr,20:00:02,www.washington.edu,8,146.97.33.5,5.812,5.683,5.645
09 Apr,20:00:02,www.washington.edu,11,62.40.125.18,78.160,78.369,78.269
09 Apr,20:00:02,www.washington.edu,12,163.253.1.116,145.411,146.174,147.099
09 Apr,20:00:02,www.washington.edu,13,163.253.1.107,145.057,144.932,145.001
09 Apr,20:00:02,www.washington.edu,14,163.253.1.139,143.793,145.626,145.394
09 Apr,20:00:02,www.washington.edu,15,163.253.2.17,145.366,146.081,144.678
09 Apr,20:00:02,www.washington.edu,16,163.253.2.74,145.670,145.149,145.097
09 Apr,20:00:02,www.washington.edu,17,163.253.1.245,146.592,144.773,147.124
09 Apr,20:00:02,www.washington.edu,18,163.253.1.242,146.608,146.569,146.987
09 Apr,20:00:02,www.washington.edu,19,163.253.1.171,144.548,145.166,145.114
09 Apr,20:00:02,www.washington.edu,20,163.253.1.157,145.267,143.893,143.779
09 Apr,20:00:02,www.washington.edu,21,64.57.28.54,144.017,143.882,143.785
09 Apr,20:00:02,www.washington.edu,25,128.95.0.66,146.479,146.502,145.079
09 Apr,20:00:02,www.bijt.net,1,192.168.25.1,0.682,0.634,0.575
09 Apr,20:00:02,www.bijt.net,2,139.222.0.1,13.465,10.651,16.443
09 Apr,20:00:02,www.bijt.net,4,193.62.92.125,1.276,1.708,1.654
09 Apr,20:00:02,www.bijt.net,5,10.11.1.0,1.984,1.945,1.905
09 Apr,20:00:02,www.bijt.net,6,146.97.141.116,4.719,4.590,4.553
09 Apr,20:00:02,www.bijt.net,7,146.97.38.49,4.518,4.392,4.483
09 Apr,20:00:02,www.bijt.net,8,146.97.33.61,4.435,4.602,4.450
09 Apr,20:00:02,www.bijt.net,9,146.97.35.194,4.779,4.647,4.867
09 Apr,20:00:02,www.bijt.net,10,212.187.216.237,4.876,4.838,4.903
09 Apr,20:00:02,www.bijt.net,14,154.54.72.182,5.668,5.904,5.644
09 Apr,20:00:02,www.bijt.net,15,154.54.94.45,74.433,80.223,78.989
09 Apr,20:00:02,www.bijt.net,16,154.54.169.222,83.190,79.011,78.921
09 Apr,20:00:02,www.bijt.net,17,154.54.169.185,86.923,82.441,82.492
09 Apr,20:00:02,www.bijt.net,18,154.54.7.129,94.099,92.239,92.979
09 Apr,20:00:02,www.bijt.net,19,154.54.166.73,104.484,100.011,104.406
09 Apr,20:00:02,www.bijt.net,20,154.54.7.233,115.536,117.688,115.723
09 Apr,20:00:02,www.bijt.net,21,154.54.165.26,133.598,137.633,137.960
09 Apr,20:00:02,www.bijt.net,22,154.54.166.70,136.648,132.190,136.578
09 Apr,20:00:02,www.bijt.net,23,154.54.45.162,139.012,147.052,143.895
09 Apr,20:00:02,www.bijt.net,24,154.54.3.70,145.185,142.521,138.161
09 Apr,20:00:02,www.bijt.net,25,154.54.86.41,140.016,135.630,140.308
09 Apr,20:00:02,www.bijt.net,26,38.104.84.15,157.195,146.389,146.435
09 Apr,20:00:02,www.bijt.net,27,104.171.226.68,146.484,146.286,142.009
09 Apr,20:00:02,www.bijt.net,28,172.80.0.167,145.824,145.779,143.134
09 Apr,20:00:02,www.ntua.gr,1,192.168.25.1,0.756,0.658,0.590
09 Apr,20:00:02,www.ntua.gr,2,139.222.0.1,7.127,4.097,10.131
09 Apr,20:00:02,www.ntua.gr,3,10.0.0.1,4.149,8.017,10.281
09 Apr,20:00:02,www.ntua.gr,4,193.62.92.125,1.315,1.253,1.359
09 Apr,20:00:02,www.ntua.gr,5,10.11.1.0,2.088,2.028,1.967
09 Apr,20:00:02,www.ntua.gr,6,146.97.141.116,4.535,4.512,4.443
09 Apr,20:00:02,www.ntua.gr,7,146.97.38.49,6.945,5.990,5.913
09 Apr,20:00:02,www.ntua.gr,8,146.97.33.5,5.852,5.353,5.275
09 Apr,20:00:02,www.ntua.gr,14,62.40.124.43,50.526,50.695,50.778
09 Apr,20:00:02,www.ntua.gr,15,62.217.100.72,59.958,59.994,59.868
09 Apr,20:00:02,www.ntua.gr,16,62.217.96.169,61.319,60.938,61.073
09 Apr,20:00:02,www.harenet.ad.jp,1,192.168.25.1,0.818,0.731,0.638
09 Apr,20:00:02,www.harenet.ad.jp,2,139.222.0.1,4.147,7.149,10.174
09 Apr,20:00:02,www.harenet.ad.jp,3,10.0.0.1,4.095,7.314,10.654
09 Apr,20:00:02,www.harenet.ad.jp,4,193.62.92.125,1.549,1.456,1.394
09 Apr,20:00:02,www.harenet.ad.jp,5,10.11.1.0,1.809,1.743,1.681
09 Apr,20:00:02,www.harenet.ad.jp,6,146.97.141.116,4.468,4.559,4.486
09 Apr,20:00:02,www.harenet.ad.jp,7,146.97.38.49,4.494,4.440,8.511
09 Apr,20:00:02,www.harenet.ad.jp,8,146.97.33.61,4.521,4.575,4.504
09 Apr,20:00:02,www.harenet.ad.jp,9,146.97.35.194,4.661,4.801,4.676
09 Apr,20:00:02,www.harenet.ad.jp,10,62.115.175.106,4.704,4.727,4.651
09 Apr,20:00:02,www.harenet.ad.jp,11,62.115.142.244,8.045,7.472,7.214
09 Apr,20:00:02,www.harenet.ad.jp,12,62.115.138.216,5.107,5.199,5.151
09 Apr,20:00:02,www.harenet.ad.jp,13,62.115.133.239,11.285,11.459,12.843
09 Apr,20:00:02,www.harenet.ad.jp,14,62.115.138.227,24.411,25.207,21.242
09 Apr,20:00:02,www.harenet.ad.jp,16,62.115.141.122,224.375,225.537,225.497
09 Apr,20:00:02,www.harenet.ad.jp,17,62.115.140.25,227.054,225.667,226.818
09 Apr,20:00:02,www.harenet.ad.jp,18,213.248.82.234,237.882,238.190,237.969
09 Apr,20:00:02,www.harenet.ad.jp,21,103.14.13.3,247.016,245.125,262.785
09 Apr,06:00:02,www.washington.edu,1,192.168.25.1,0.571,0.503,0.449
09 Apr,06:00:02,www.washington.edu,2,139.222.0.1,3.931,6.850,9.917
09 Apr,06:00:02,www.washington.edu,3,10.0.0.1,10.304,19.618,16.640
09 Apr,06:00:02,www.washington.edu,4,193.62.92.125,1.429,1.379,1.271
09 Apr,06:00:02,www.washington.edu,5,10.11.1.0,1.225,1.520,1.325
09 Apr,06:00:02,www.washington.edu,6,146.97.141.116,4.290,4.123,4.115
09 Apr,06:00:02,www.washington.edu,7,146.97.38.49,4.460,4.548,4.482
09 Apr,06:00:02,www.washington.edu,8,146.97.33.61,5.750,5.671,5.756
09 Apr,06:00:02,www.washington.edu,9,72.14.205.74,4.667,4.774,4.890
09 Apr,06:00:02,www.bijt.net,1,192.168.25.1,0.513,0.453,0.519
09 Apr,06:00:02,www.bijt.net,3,10.0.0.1,5.237,11.503,14.476
09 Apr,06:00:02,www.bijt.net,4,193.62.92.125,1.292,1.248,1.285
09 Apr,06:00:02,www.bijt.net,5,10.11.1.0,1.460,1.414,1.367
09 Apr,06:00:02,www.bijt.net,6,146.97.141.116,4.268,4.790,4.744
09 Apr,06:00:02,www.bijt.net,7,146.97.38.49,5.187,4.624,4.387
09 Apr,06:00:02,www.bijt.net,8,146.97.33.61,5.543,4.931,5.456
09 Apr,06:00:02,www.bijt.net,9,146.97.35.194,4.847,4.834,4.844
09 Apr,06:00:02,www.bijt.net,10,212.187.216.237,4.833,4.865,5.031
09 Apr,06:00:02,www.bijt.net,14,154.54.72.182,5.820,5.844,6.014
09 Apr,06:00:02,www.bijt.net,15,154.54.95.101,74.785,74.936,75.086
09 Apr,06:00:02,www.bijt.net,17,154.54.172.170,93.115,93.085,93.092
09 Apr,06:00:02,www.bijt.net,18,154.54.40.110,112.775,112.693,99.732
09 Apr,06:00:02,www.bijt.net,19,154.54.40.249,112.640,117.254,112.561
09 Apr,06:00:02,www.bijt.net,20,154.54.165.26,134.612,134.335,134.299
09 Apr,06:00:02,www.bijt.net,21,154.54.166.58,134.470,134.120,133.911
09 Apr,06:00:02,www.bijt.net,22,154.54.45.162,140.545,139.479,140.421
09 Apr,06:00:02,www.bijt.net,23,154.54.3.70,139.276,139.250,139.217
09 Apr,06:00:02,www.bijt.net,24,154.54.86.41,137.020,136.974,136.854
09 Apr,06:00:02,www.bijt.net,25,38.104.84.15,175.160,174.948,173.462
09 Apr,06:00:02,www.bijt.net,26,104.171.226.68,143.158,142.962,143.191
09 Apr,06:00:02,www.bijt.net,27,172.80.0.167,142.490,142.696,142.352
09 Apr,06:00:02,www.ntua.gr,1,192.168.25.1,0.740,0.666,0.614
09 Apr,06:00:02,www.ntua.gr,2,139.222.0.1,4.261,7.102,10.075
09 Apr,06:00:02,www.ntua.gr,3,10.0.0.1,4.111,7.064,9.941
09 Apr,06:00:02,www.ntua.gr,4,193.62.92.125,1.508,1.455,1.389
09 Apr,06:00:02,www.ntua.gr,5,10.11.1.0,1.572,1.605,1.459
09 Apr,06:00:02,www.ntua.gr,6,146.97.141.116,4.511,4.451,4.401
09 Apr,06:00:02,www.ntua.gr,7,146.97.38.49,4.714,4.588,4.501
09 Apr,06:00:02,www.ntua.gr,8,146.97.33.5,5.195,5.077,5.401
09 Apr,06:00:02,www.ntua.gr,14,62.40.124.43,51.574,50.604,50.636
09 Apr,06:00:02,www.ntua.gr,15,62.217.100.72,59.958,59.959,59.999
09 Apr,06:00:02,www.ntua.gr,16,62.217.96.169,61.454,63.599,61.142
09 Apr,06:00:02,www.harenet.ad.jp,1,192.168.25.1,0.925,0.832,0.764
09 Apr,06:00:02,www.harenet.ad.jp,2,139.222.0.1,14.677,4.337,11.420
09 Apr,06:00:02,www.harenet.ad.jp,3,10.0.0.1,8.464,18.239,5.336
09 Apr,06:00:02,www.harenet.ad.jp,4,193.62.92.125,1.207,1.428,1.348
09 Apr,06:00:02,www.harenet.ad.jp,5,10.11.1.0,1.465,1.391,1.329
09 Apr,06:00:02,www.harenet.ad.jp,6,146.97.141.116,4.310,4.388,4.315
09 Apr,06:00:02,www.harenet.ad.jp,7,146.97.38.49,4.480,4.475,4.534
09 Apr,06:00:02,www.harenet.ad.jp,8,146.97.33.61,4.467,5.039,4.972
09 Apr,06:00:02,www.harenet.ad.jp,9,146.97.35.194,5.059,4.696,4.691
09 Apr,06:00:02,www.harenet.ad.jp,11,62.115.142.244,8.622,8.240,7.804
09 Apr,06:00:02,www.harenet.ad.jp,12,62.115.139.142,5.274,5.146,5.011
09 Apr,06:00:02,www.harenet.ad.jp,13,62.115.133.239,11.481,12.512,11.602
09 Apr,06:00:02,www.harenet.ad.jp,14,62.115.138.227,25.003,24.441,23.626
09 Apr,06:00:02,www.harenet.ad.jp,15,62.115.140.43,161.252,158.109,160.722
09 Apr,06:00:02,www.harenet.ad.jp,16,62.115.142.37,224.687,227.174,232.670
09 Apr,06:00:02,www.harenet.ad.jp,17,62.115.140.25,227.125,236.196,229.287
09 Apr,06:00:02,www.harenet.ad.jp,18,213.248.82.234,238.202,241.042,227.140
09 Apr,13:00:02,www.washington.edu,1,192.168.25.1,0.501,0.441,0.808
09 Apr,13:00:02,www.washington.edu,2,139.222.0.1,8.316,11.525,4.156
09 Apr,13:00:02,www.washington.edu,3,10.0.0.1,5.989,10.581,14.860
09 Apr,13:00:02,www.washington.edu,4,193.62.92.125,1.508,1.471,1.413
09 Apr,13:00:02,www.washington.edu,5,10.11.1.0,1.828,1.773,1.717
09 Apr,13:00:02,www.washington.edu,6,146.97.141.116,4.268,4.544,4.419
09 Apr,13:00:02,www.washington.edu,7,146.97.38.49,4.596,5.818,5.746
09 Apr,13:00:02,www.washington.edu,8,146.97.33.61,9.894,5.534,9.514
09 Apr,13:00:02,www.washington.edu,9,72.14.205.74,4.622,4.710,4.614
09 Apr,13:00:02,www.bijt.net,1,192.168.25.1,1.432,1.372,1.325
09 Apr,13:00:02,www.bijt.net,2,139.222.0.1,18.417,32.603,4.784
09 Apr,13:00:02,www.bijt.net,3,10.0.0.1,4.921,8.068,10.970
09 Apr,13:00:02,www.bijt.net,4,193.62.92.125,1.965,1.920,1.880
09 Apr,13:00:02,www.bijt.net,5,10.11.1.0,1.954,1.912,1.872
09 Apr,13:00:02,www.bijt.net,6,146.97.141.116,4.533,4.680,4.623
09 Apr,13:00:02,www.bijt.net,7,146.97.38.49,4.771,5.184,5.129
09 Apr,13:00:02,www.bijt.net,8,146.97.33.61,5.086,5.039,4.997
09 Apr,13:00:02,www.bijt.net,9,146.97.35.194,4.954,5.286,5.162
09 Apr,13:00:02,www.bijt.net,10,212.187.216.237,5.270,5.033,4.947
09 Apr,13:00:02,www.bijt.net,14,154.54.72.182,6.056,5.987,5.830
09 Apr,13:00:02,www.bijt.net,15,154.54.94.45,78.706,79.769,80.014
09 Apr,13:00:02,www.bijt.net,16,154.54.169.226,82.379,82.496,82.536
09 Apr,13:00:02,www.bijt.net,17,154.54.169.197,87.307,87.474,87.139
09 Apr,13:00:02,www.bijt.net,18,154.54.6.221,94.335,89.803,93.905
09 Apr,13:00:02,www.bijt.net,19,154.54.165.133,100.284,104.739,100.227
09 Apr,13:00:02,www.bijt.net,20,154.54.7.233,115.981,115.987,116.081
09 Apr,13:00:02,www.bijt.net,21,154.54.165.30,137.867,133.792,138.261
09 Apr,13:00:02,www.bijt.net,22,154.54.166.58,137.771,137.901,133.800
09 Apr,13:00:02,www.bijt.net,23,154.54.45.162,139.504,143.005,143.835
09 Apr,13:00:02,www.bijt.net,24,154.54.3.70,138.443,142.925,142.813
09 Apr,13:00:02,www.bijt.net,25,154.54.86.41,136.370,140.450,136.317
09 Apr,13:00:02,www.bijt.net,26,38.104.84.15,146.507,142.270,146.658
09 Apr,13:00:02,www.bijt.net,27,104.171.226.68,147.247,147.224,147.954
09 Apr,13:00:02,www.bijt.net,28,172.80.0.167,147.070,142.066,146.717
09 Apr,13:00:02,www.ntua.gr,1,192.168.25.1,0.612,0.553,0.505
09 Apr,13:00:02,www.ntua.gr,2,139.222.0.1,4.311,7.200,10.091
09 Apr,13:00:02,www.ntua.gr,3,10.0.0.1,7.101,4.176,10.284
09 Apr,13:00:02,www.ntua.gr,4,193.62.92.125,1.376,1.320,1.265
09 Apr,13:00:02,www.ntua.gr,5,10.11.1.0,1.526,1.475,1.429
09 Apr,13:00:02,www.ntua.gr,6,146.97.141.116,4.234,4.353,4.304
09 Apr,13:00:02,www.ntua.gr,7,146.97.38.49,4.569,4.426,4.363
09 Apr,13:00:02,www.ntua.gr,8,146.97.33.5,4.996,5.286,5.235
09 Apr,13:00:02,www.ntua.gr,14,62.40.124.43,52.019,51.101,50.708
09 Apr,13:00:02,www.ntua.gr,15,62.217.100.72,60.298,62.224,60.186
09 Apr,13:00:02,www.ntua.gr,16,62.217.96.169,61.706,61.501,61.577
09 Apr,13:00:02,www.harenet.ad.jp,1,192.168.25.1,0.701,0.506,0.438
09 Apr,13:00:02,www.harenet.ad.jp,2,139.222.0.1,8.032,4.018,10.782
09 Apr,13:00:02,www.harenet.ad.jp,3,10.0.0.1,3.911,10.044,6.803
09 Apr,13:00:02,www.harenet.ad.jp,4,193.62.92.125,1.989,1.936,1.880
09 Apr,13:00:02,www.harenet.ad.jp,5,10.11.1.0,1.956,1.916,1.877
09 Apr,13:00:02,www.harenet.ad.jp,6,146.97.141.116,4.877,4.482,4.414
09 Apr,13:00:02,www.harenet.ad.jp,7,146.97.38.49,4.643,4.902,4.849
09 Apr,13:00:02,www.harenet.ad.jp,8,146.97.33.61,4.795,4.748,4.701
09 Apr,13:00:02,www.harenet.ad.jp,9,146.97.35.194,4.654,4.676,4.616
09 Apr,13:00:02,www.harenet.ad.jp,11,62.115.142.244,6.656,7.577,7.050
09 Apr,13:00:02,www.harenet.ad.jp,12,62.115.138.216,4.954,4.932,4.888
09 Apr,13:00:02,www.harenet.ad.jp,13,62.115.135.25,12.429,11.388,12.453
