Day,Time,Website,Hop No,IP,Time1,Time2,Time3
10 Apr,16:00:02,www.harenet.ad.jp,21,103.14.13.3,248.638,247.951,248.867
10 Apr,20:00:01,www.washington.edu,1,192.168.25.1,0.565,0.496,0.816
10 Apr,20:00:01,www.washington.edu,2,139.222.0.1,4.551,7.606,11.054
10 Apr,20:00:01,www.washington.edu,3,10.0.0.1,14.235,5.061,8.134
10 Apr,20:00:01,www.washington.edu,4,193.62.92.125,1.473,1.432,1.395
10 Apr,20:00:01,www.washington.edu,5,10.11.1.0,1.499,1.454,1.403
10 Apr,20:00:01,www.washington.edu,6,146.97.141.116,7.931,7.767,7.699
10 Apr,20:00:01,www.washington.edu,7,146.97.38.49,4.553,4.675,4.622
10 Apr,20:00:01,www.washington.edu,8,146.97.33.5,5.616,5.529,5.491
10 Apr,20:00:01,www.washington.edu,11,62.40.125.18,79.578,79.485,79.433
10 Apr,20:00:01,www.washington.edu,12,163.253.1.116,153.040,156.097,156.047
10 Apr,20:00:01,www.washington.edu,13,163.253.1.107,148.926,148.878,146.572
10 Apr,20:00:01,www.washington.edu,14,163.253.1.139,148.557,146.844,146.814
10 Apr,20:00:01,www.washington.edu,15,163.253.2.17,149.124,147.171,147.138
10 Apr,20:00:01,www.washington.edu,16,163.253.2.74,146.664,146.985,145.487
10 Apr,20:00:01,www.washington.edu,17,163.253.1.245,148.683,148.637,148.394
10 Apr,20:00:01,www.washington.edu,18,163.253.1.242,147.213,146.529,147.076
10 Apr,20:00:01,www.washington.edu,19,163.253.1.171,147.913,147.880,148.209
10 Apr,20:00:01,www.washington.edu,20,163.253.1.157,146.818,148.076,148.042
10 Apr,20:00:01,www.washington.edu,21,64.57.28.54,145.336,144.924,145.166
10 Apr,20:00:01,www.washington.edu,25,128.95.0.66,149.058,147.662,146.986
10 Apr,20:00:01,www.bijt.net,1,192.168.25.1,2.447,2.387,2.319
10 Apr,20:00:01,www.bijt.net,2,139.222.0.1,5.870,8.806,11.628
10 Apr,20:00:01,www.bijt.net,3,10.0.0.1,7.991,14.522,11.288
10 Apr,20:00:01,www.bijt.net,4,193.62.92.125,2.980,2.932,2.883
10 Apr,20:00:01,www.bijt.net,5,10.11.1.0,3.068,3.028,2.986
10 Apr,20:00:01,www.bijt.net,6,146.97.141.116,5.498,4.889,4.827
10 Apr,20:00:01,www.bijt.net,7,146.97.38.49,6.064,5.203,5.137
10 Apr,20:00:01,www.bijt.net,8,146.97.33.61,5.086,4.994,4.945
10 Apr,20:00:01,www.bijt.net,9,146.97.35.194,4.900,4.648,4.551
10 Apr,20:00:01,www.bijt.net,10,212.187.216.237,5.184,5.126,4.998
10 Apr,20:00:01,www.bijt.net,12,130.117.15.37,7.007,6.577,7.073
10 Apr,20:00:01,www.bijt.net,14,154.54.75.150,5.782,5.789,5.935
10 Apr,20:00:01,www.bijt.net,15,154.54.94.45,79.904,75.251,79.373
10 Apr,20:00:01,www.bijt.net,16,154.54.169.222,83.303,77.610,83.210
10 Apr,20:00:01,www.bijt.net,17,154.54.169.185,82.615,82.542,87.015
10 Apr,20:00:01,www.bijt.net,18,154.54.6.221,93.533,93.181,93.353
10 Apr,20:00:01,www.bijt.net,19,154.54.166.73,104.651,104.661,104.630
10 Apr,20:00:01,www.bijt.net,20,154.54.31.93,115.861,111.972,115.896
10 Apr,20:00:01,www.bijt.net,21,154.54.165.30,138.098,137.988,138.114
10 Apr,20:00:01,www.bijt.net,22,154.54.166.58,137.342,132.722,136.719
10 Apr,20:00:01,www.bijt.net,23,154.54.45.162,139.450,139.477,139.295
10 Apr,20:00:01,www.bijt.net,24,154.54.27.118,142.941,138.534,138.500
10 Apr,20:00:01,www.bijt.net,25,154.54.86.41,140.381,140.311,140.409
10 Apr,20:00:01,www.bijt.net,26,38.104.84.15,142.191,146.946,146.862
10 Apr,20:00:01,www.bijt.net,27,104.171.226.68,146.514,150.110,146.319
10 Apr,20:00:01,www.bijt.net,28,172.80.0.167,145.890,145.946,145.969
10 Apr,20:00:01,www.ntua.gr,1,192.168.25.1,0.869,0.793,0.742
10 Apr,20:00:01,www.ntua.gr,2,139.222.0.1,4.260,9.333,13.028
10 Apr,20:00:01,www.ntua.gr,3,10.0.0.1,8.334,5.102,14.510
10 Apr,20:00:01,www.ntua.gr,4,193.62.92.125,1.363,1.300,1.336
10 Apr,20:00:01,www.ntua.gr,5,10.11.1.0,1.614,1.563,1.519
10 Apr,20:00:01,www.ntua.gr,6,146.97.141.116,4.366,4.385,4.329
10 Apr,20:00:01,www.ntua.gr,7,146.97.38.49,8.369,7.670,7.484
10 Apr,20:00:01,www.ntua.gr,8,146.97.33.5,5.263,5.410,5.356
10 Apr,20:00:01,www.ntua.gr,14,62.40.124.43,50.559,50.684,50.516
10 Apr,20:00:01,www.ntua.gr,15,62.217.100.72,60.421,60.110,63.974
10 Apr,20:00:01,www.ntua.gr,16,62.217.96.169,61.155,61.663,61.615
10 Apr,20:00:01,www.harenet.ad.jp,1,192.168.25.1,1.156,1.086,1.020
10 Apr,20:00:01,www.harenet.ad.jp,2,139.222.0.1,10.738,7.600,4.729
10 Apr,20:00:01,www.harenet.ad.jp,4,193.62.92.125,1.566,1.523,1.481
10 Apr,20:00:01,www.harenet.ad.jp,5,10.11.1.0,1.662,1.618,1.555
10 Apr,20:00:01,www.harenet.ad.jp,6,146.97.141.116,4.258,4.460,4.401
10 Apr,20:00:01,www.harenet.ad.jp,7,146.97.38.49,4.538,4.836,4.780
10 Apr,20:00:01,www.harenet.ad.jp,8,146.97.33.61,4.906,4.791,4.736
10 Apr,20:00:01,www.harenet.ad.jp,9,146.97.35.194,4.664,5.285,5.202
10 Apr,20:00:01,www.harenet.ad.jp,11,62.115.142.244,8.267,8.217,8.176
10 Apr,20:00:01,www.harenet.ad.jp,12,62.115.139.142,5.064,5.039,5.016
10 Apr,20:00:01,www.harenet.ad.jp,14,62.115.138.227,24.910,24.417,23.007
10 Apr,20:00:01,www.harenet.ad.jp,15,62.115.140.41,160.917,159.820,236.621
10 Apr,20:00:01,www.harenet.ad.jp,16,62.115.142.37,236.530,240.757,235.709
10 Apr,20:00:01,www.harenet.ad.jp,17,62.115.140.25,225.650,170.318,225.127
10 Apr,20:00:01,www.harenet.ad.jp,18,213.248.82.234,241.438,245.866,233.783
10 Apr,20:00:01,www.harenet.ad.jp,21,103.14.13.3,245.149,244.028,231.041
10 Apr,20:00:01,www.harenet.ad.jp,22,211.125.119.102,243.524,254.536,257.161
10 Apr,20:00:01,www.harenet.ad.jp,23,103.14.13.3,248.637,245.696,245.120
11 Apr,06:00:01,www.washington.edu,1,192.168.25.1,0.737,0.694,0.663
11 Apr,06:00:01,www.washington.edu,2,139.222.0.1,4.340,7.308,10.228
11 Apr,06:00:01,www.washington.edu,4,193.62.92.125,1.200,1.413,1.361
11 Apr,06:00:01,www.washington.edu,5,10.11.1.0,1.729,1.678,1.637
11 Apr,06:00:01,www.washington.edu,6,146.97.141.116,4.476,4.657,4.595
11 Apr,06:00:01,www.washington.edu,7,146.97.38.49,6.150,5.423,5.244
11 Apr,06:00:01,www.washington.edu,8,146.97.33.61,4.749,4.412,5.279
11 Apr,06:00:01,www.washington.edu,9,72.14.205.74,4.516,4.639,4.500
11 Apr,06:00:01,www.bijt.net,1,192.168.25.1,2.669,2.610,2.539
11 Apr,06:00:01,www.bijt.net,2,139.222.0.1,9.793,8.305,15.522
11 Apr,06:00:01,www.bijt.net,3,10.0.0.1,8.196,9.565,14.248
11 Apr,06:00:01,www.bijt.net,4,193.62.92.125,2.971,2.896,2.840
11 Apr,06:00:01,www.bijt.net,5,10.11.1.0,3.034,2.992,2.949
11 Apr,06:00:01,www.bijt.net,6,146.97.141.116,7.692,5.649,5.576
11 Apr,06:00:01,www.bijt.net,7,146.97.38.49,5.509,4.987,4.896
11 Apr,06:00:01,www.bijt.net,8,146.97.33.61,6.289,6.182,4.614
11 Apr,06:00:01,www.bijt.net,9,146.97.35.194,4.565,5.993,5.933
11 Apr,06:00:01,www.bijt.net,10,212.187.216.237,5.870,5.811,5.764
11 Apr,06:00:01,www.bijt.net,14,154.54.75.150,6.332,6.299,6.278
11 Apr,06:00:01,www.bijt.net,15,154.54.167.29,80.055,81.939,74.712
11 Apr,06:00:01,www.bijt.net,16,154.54.169.226,84.989,83.153,84.185
11 Apr,06:00:01,www.bijt.net,17,154.54.169.197,83.075,87.391,87.343
11 Apr,06:00:01,www.bijt.net,18,154.54.6.221,93.620,93.591,88.944
11 Apr,06:00:01,www.bijt.net,19,154.54.166.73,104.737,104.688,104.658
11 Apr,06:00:01,www.bijt.net,20,154.54.7.233,137.151,132.196,130.145
11 Apr,06:00:01,www.bijt.net,21,154.54.165.30,137.781,133.671,137.973
11 Apr,06:00:01,www.bijt.net,22,154.54.166.58,136.919,136.878,132.910
11 Apr,06:00:01,www.bijt.net,23,154.54.45.162,143.657,138.381,143.919
11 Apr,06:00:01,www.bijt.net,24,154.54.27.118,142.940,138.439,142.867
11 Apr,06:00:01,www.bijt.net,25,154.54.86.41,140.301,140.971,141.355
11 Apr,06:00:01,www.bijt.net,26,38.104.84.15,141.998,149.596,149.526
11 Apr,06:00:01,www.bijt.net,27,104.171.226.68,147.794,146.751,142.048
11 Apr,06:00:01,www.bijt.net,28,172.80.0.167,146.137,145.939,146.469
11 Apr,06:00:01,www.ntua.gr,1,192.168.25.1,1.290,1.233,1.183
11 Apr,06:00:01,www.ntua.gr,2,139.222.0.1,4.844,10.762,8.163
11 Apr,06:00:01,www.ntua.gr,3,10.0.0.1,8.118,10.801,4.363
11 Apr,06:00:01,www.ntua.gr,4,193.62.92.125,1.599,1.550,1.482
11 Apr,06:00:01,www.ntua.gr,5,10.11.1.0,1.688,1.640,1.663
11 Apr,06:00:01,www.ntua.gr,6,146.97.141.116,4.472,4.572,5.378
11 Apr,06:00:01,www.ntua.gr,7,146.97.38.49,5.367,4.998,4.943
11 Apr,06:00:01,www.ntua.gr,8,146.97.33.5,5.400,5.356,5.043
11 Apr,06:00:01,www.ntua.gr,14,62.40.124.43,73.358,50.852,50.529
11 Apr,06:00:01,www.ntua.gr,15,62.217.100.72,59.961,62.110,60.076
11 Apr,06:00:01,www.ntua.gr,16,62.217.96.169,61.318,61.533,61.971
11 Apr,06:00:01,www.harenet.ad.jp,1,192.168.25.1,0.558,0.406,0.423
11 Apr,06:00:01,www.harenet.ad.jp,2,139.222.0.1,4.127,6.904,10.146
11 Apr,06:00:01,www.harenet.ad.jp,3,10.0.0.1,4.240,7.247,10.526
11 Apr,06:00:01,www.harenet.ad.jp,4,193.62.92.125,1.569,1.491,1.429
11 Apr,06:00:01,www.harenet.ad.jp,5,10.11.1.0,1.589,1.514,1.596
11 Apr,06:00:01,www.harenet.ad.jp,6,146.97.141.116,4.403,4.703,4.505
11 Apr,06:00:01,www.harenet.ad.jp,7,146.97.38.49,4.570,4.637,4.816
11 Apr,06:00:01,www.harenet.ad.jp,8,146.97.33.61,4.882,4.934,4.864
11 Apr,06:00:01,www.harenet.ad.jp,9,146.97.35.194,4.629,4.585,4.530
11 Apr,06:00:01,www.harenet.ad.jp,11,62.115.142.244,7.169,6.234,5.972
11 Apr,06:00:01,www.harenet.ad.jp,12,62.115.139.142,4.876,4.844,4.924
11 Apr,06:00:01,www.harenet.ad.jp,13,62.115.133.239,11.363,12.209,12.107
11 Apr,06:00:01,www.harenet.ad.jp,14,62.115.136.235,23.741,21.322,21.664
11 Apr,06:00:01,www.harenet.ad.jp,15,62.115.141.184,165.895,160.714,223.721
11 Apr,06:00:01,www.harenet.ad.jp,16,62.115.140.59,234.185,225.338,237.131
11 Apr,06:00:01,www.harenet.ad.jp,17,62.115.140.25,225.127,224.610,158.279
11 Apr,06:00:01,www.harenet.ad.jp,18,213.248.82.234,234.355,228.693,234.864
11 Apr,06:00:01,www.harenet.ad.jp,20,211.125.114.65,244.682,250.652,234.542
11 Apr,06:00:01,www.harenet.ad.jp,23,211.125.114.70,247.534,262.585,252.028
11 Apr,13:00:02,www.washington.edu,1,192.168.25.1,0.607,0.520,0.407
11 Apr,13:00:02,www.washington.edu,2,139.222.0.1,4.394,7.242,10.113
11 Apr,13:00:02,www.washington.edu,4,193.62.92.125,1.304,1.248,1.171
11 Apr,13:00:02,www.washington.edu,5,10.11.1.0,1.435,1.739,1.665
11 Apr,13:00:02,www.washington.edu,6,146.97.141.116,4.602,4.399,4.393
11 Apr,13:00:02,www.washington.edu,7,146.97.38.49,4.547,4.756,4.675
11 Apr,13:00:02,www.washington.edu,8,146.97.33.5,5.277,5.146,5.174
11 Apr,13:00:02,www.washington.edu,11,62.40.125.18,76.695,76.604,76.318
11 Apr,13:00:02,www.washington.edu,12,163.253.1.116,147.261,147.190,148.603
11 Apr,13:00:02,www.washington.edu,13,163.253.1.9,147.377,148.511,148.480
11 Apr,13:00:02,www.washington.edu,14,163.253.1.139,148.290,149.362,149.317
11 Apr,13:00:02,www.washington.edu,15,163.253.2.17,148.633,147.219,147.171
11 Apr,13:00:02,www.washington.edu,16,163.253.2.74,146.707,147.497,147.529
11 Apr,13:00:02,www.washington.edu,17,163.253.1.245,146.980,146.929,148.016
11 Apr,13:00:02,www.washington.edu,18,163.253.1.242,146.789,146.758,146.623
11 Apr,13:00:02,www.washington.edu,19,163.253.1.171,146.106,147.030,146.892
11 Apr,13:00:02,www.washington.edu,20,163.253.1.157,147.877,147.845,147.516
11 Apr,13:00:02,www.washington.edu,21,64.57.28.54,145.571,145.527,145.116
11 Apr,13:00:02,www.washington.edu,25,128.95.0.66,149.187,150.733,146.467
11 Apr,13:00:02,www.bijt.net,1,192.168.25.1,1.064,0.979,0.887
11 Apr,13:00:02,www.bijt.net,2,139.222.0.1,10.388,4.662,7.357
11 Apr,13:00:02,www.bijt.net,3,10.0.0.1,4.500,7.637,10.689
11 Apr,13:00:02,www.bijt.net,4,193.62.92.125,1.903,1.836,1.661
11 Apr,13:00:02,www.bijt.net,5,10.11.1.0,1.587,1.515,1.453
11 Apr,13:00:02,www.bijt.net,6,146.97.141.116,5.327,5.076,5.007
11 Apr,13:00:02,www.bijt.net,7,146.97.38.49,5.760,5.536,5.583
11 Apr,13:00:02,www.bijt.net,8,146.97.33.61,5.037,4.977,4.912
11 Apr,13:00:02,www.bijt.net,9,146.97.35.194,4.847,4.959,4.882
11 Apr,13:00:02,www.bijt.net,10,212.187.216.237,5.051,4.967,4.905
11 Apr,13:00:02,www.bijt.net,14,154.54.72.182,6.038,5.860,5.836
11 Apr,13:00:02,www.bijt.net,15,154.54.167.29,79.947,79.971,74.771
11 Apr,13:00:02,www.bijt.net,16,154.54.169.222,79.262,83.512,82.374
11 Apr,13:00:02,www.bijt.net,17,154.54.169.185,87.067,87.108,87.118
11 Apr,13:00:02,www.bijt.net,18,154.54.7.129,93.736,93.697,93.531
11 Apr,13:00:02,www.bijt.net,19,154.54.166.73,104.652,100.232,100.202
11 Apr,13:00:02,www.bijt.net,20,154.54.31.93,115.922,116.404,116.432
11 Apr,13:00:02,www.bijt.net,21,154.54.165.26,134.000,133.619,137.673
11 Apr,13:00:02,www.bijt.net,22,154.54.166.70,137.217,137.758,137.454
11 Apr,13:00:02,www.bijt.net,23,154.54.44.86,143.070,143.770,143.404
11 Apr,13:00:02,www.bijt.net,24,154.54.3.70,138.844,143.532,139.070
11 Apr,13:00:02,www.bijt.net,25,154.54.86.41,140.421,140.948,135.959
11 Apr,13:00:02,www.bijt.net,26,38.104.84.15,216.658,198.952,198.911
11 Apr,13:00:02,www.bijt.net,27,104.171.226.68,153.875,153.830,148.993
11 Apr,13:00:02,www.bijt.net,28,172.80.0.167,146.356,146.278,146.403
11 Apr,13:00:02,www.ntua.gr,1,192.168.25.1,0.483,0.596,0.525
11 Apr,13:00:02,www.ntua.gr,4,193.62.92.125,1.392,1.339,1.296
11 Apr,13:00:02,www.ntua.gr,5,10.11.1.0,1.412,1.368,1.504
11 Apr,13:00:02,www.ntua.gr,6,146.97.141.116,18.841,18.646,18.592
11 Apr,13:00:02,www.ntua.gr,7,146.97.38.49,4.843,4.723,4.637
11 Apr,13:00:02,www.ntua.gr,8,146.97.33.5,10.483,10.376,10.396
11 Apr,13:00:02,www.ntua.gr,14,62.40.124.43,50.724,50.786,50.716
11 Apr,13:00:02,www.ntua.gr,15,62.217.100.72,63.420,59.883,60.038
11 Apr,13:00:02,www.ntua.gr,16,62.217.96.169,61.110,61.139,61.123
11 Apr,13:00:02,www.harenet.ad.jp,1,192.168.25.1,0.497,0.414,2.331
11 Apr,13:00:02,www.harenet.ad.jp,2,139.222.0.1,85.344,88.671,91.550
11 Apr,13:00:02,www.harenet.ad.jp,3,10.0.0.1,9.592,12.417,6.450
11 Apr,13:00:02,www.harenet.ad.jp,4,193.62.92.125,3.109,2.203,2.139
11 Apr,13:00:02,www.harenet.ad.jp,5,10.11.1.0,2.924,1.977,2.780
11 Apr,13:00:02,www.harenet.ad.jp,6,146.97.141.116,5.920,5.669,5.593
11 Apr,13:00:02,www.harenet.ad.jp,7,146.97.38.49,5.251,6.608,6.530
11 Apr,13:00:02,www.harenet.ad.jp,8,146.97.33.61,6.707,5.157,5.815
11 Apr,13:00:02,www.harenet.ad.jp,9,146.97.35.194,5.397,4.760,4.679
11 Apr,13:00:02,www.harenet.ad.jp,10,62.115.175.106,4.652,4.573,4.984
11 Apr,13:00:02,www.harenet.ad.jp,11,62.115.142.244,7.219,7.165,9.091
11 Apr,13:00:02,www.harenet.ad.jp,12,62.115.139.142,5.072,4.924,5.128
11 Apr,13:00:02,www.harenet.ad.jp,13,62.115.133.239,11.308,11.284,11.235
11 Apr,13:00:02,www.harenet.ad.jp,14,62.115.124.55,21.738,24.634,21.431
11 Apr,13:00:02,www.harenet.ad.jp,15,62.115.142.243,158.603,159.739,158.796
11 Apr,13:00:02,www.harenet.ad.jp,16,62.115.139.221,240.298,236.907,224.866
11 Apr,13:00:02,www.harenet.ad.jp,17,62.115.140.30,244.396,226.103,226.628
11 Apr,13:00:02,www.harenet.ad.jp,18,62.115.140.25,246.176,240.986,234.360
11 Apr,13:00:02,www.harenet.ad.jp,20,211.125.119.102,244.449,241.944,244.085
11 Apr,13:00:02,www.harenet.ad.jp,23,103.14.13.3,244.966,256.445,347.878
11 Apr,16:00:02,www.washington.edu,1,192.168.25.1,0.439,0.358,0.538
11 Apr,16:00:02,www.washington.edu,2,139.222.0.1,4.040,7.010,9.864
11 Apr,16:00:02,www.washington.edu,3,10.0.0.1,7.542,10.662,13.682
11 Apr,16:00:02,www.washington.edu,4,193.62.92.125,1.158,1.226,1.225
11 Apr,16:00:02,www.washington.edu,5,10.11.1.0,1.417,1.580,1.494
11 Apr,16:00:02,www.washington.edu,6,146.97.141.116,4.059,4.214,4.142
11 Apr,16:00:02,www.washington.edu,7,146.97.38.49,4.458,4.728,4.619
11 Apr,16:00:02,www.washington.edu,8,146.97.33.5,5.779,5.486,5.275
11 Apr,16:00:02,www.washington.edu,11,62.40.125.18,78.928,78.897,78.288
11 Apr,16:00:02,www.washington.edu,12,163.253.1.116,146.851,146.732,146.645
11 Apr,16:00:02,www.washington.edu,13,163.253.1.107,147.905,148.038,147.155
11 Apr,16:00:02,www.washington.edu,14,163.253.1.139,147.024,147.347,147.294
11 Apr,16:00:02,www.washington.edu,15,163.253.2.17,147.275,147.285,147.253
11 Apr,16:00:02,www.washington.edu,16,163.253.2.74,146.889,145.673,147.482
11 Apr,16:00:02,www.washington.edu,17,163.253.1.245,146.240,147.337,148.713
11 Apr,16:00:02,www.washington.edu,18,163.253.1.242,146.539,146.475,148.165
11 Apr,16:00:02,www.washington.edu,19,163.253.1.171,148.769,147.642,147.974
11 Apr,16:00:02,www.washington.edu,20,163.253.1.157,147.191,146.493,148.134
11 Apr,16:00:02,www.washington.edu,21,64.57.28.54,146.027,145.947,145.106
11 Apr,16:00:02,www.washington.edu,25,128.95.0.66,146.750,147.981,151.304
11 Apr,16:00:02,www.bijt.net,1,192.168.25.1,0.723,0.638,0.558
11 Apr,16:00:02,www.bijt.net,2,139.222.0.1,10.262,4.390,6.984
11 Apr,16:00:02,www.bijt.net,4,193.62.92.125,1.459,1.351,1.252
11 Apr,16:00:02,www.bijt.net,5,10.11.1.0,1.486,1.578,1.304
11 Apr,16:00:02,www.bijt.net,6,146.97.141.116,4.372,4.558,4.494
11 Apr,16:00:02,www.bijt.net,7,146.97.38.49,4.430,4.687,4.620
11 Apr,16:00:02,www.bijt.net,8,146.97.33.61,5.900,10.918,10.823
11 Apr,16:00:02,www.bijt.net,9,146.97.35.194,4.439,4.615,4.628
11 Apr,16:00:02,www.bijt.net,10,212.187.216.237,4.874,4.778,4.743
11 Apr,16:00:02,www.bijt.net,12,130.117.15.37,7.365,7.238,6.865
11 Apr,16:00:02,www.bijt.net,13,154.54.76.30,6.798,6.725,6.805
11 Apr,16:00:02,www.bijt.net,14,154.54.75.150,5.859,5.810,5.800
11 Apr,16:00:02,www.bijt.net,15,154.54.94.45,79.068,74.156,79.073
11 Apr,16:00:02,www.bijt.net,16,154.54.169.226,82.382,78.975,79.089
11 Apr,16:00:02,www.bijt.net,17,154.54.169.197,82.570,87.034,86.994
11 Apr,16:00:02,www.bijt.net,18,154.54.7.129,94.819,94.785,93.248
11 Apr,16:00:02,www.bijt.net,19,154.54.165.133,104.730,104.819,104.881
11 Apr,16:00:02,www.bijt.net,20,154.54.31.93,116.215,116.242,116.528
11 Apr,16:00:02,www.bijt.net,21,154.54.165.30,137.667,138.107,137.679
11 Apr,16:00:02,www.bijt.net,22,154.54.166.58,132.677,137.521,137.129
11 Apr,16:00:02,www.bijt.net,23,154.54.45.162,143.932,143.587,142.851
11 Apr,16:00:02,www.bijt.net,24,154.54.3.70,143.443,143.894,140.392
11 Apr,16:00:02,www.bijt.net,25,154.54.86.41,140.429,140.879,140.798
11 Apr,16:00:02,www.bijt.net,26,38.104.84.15,146.743,142.344,146.894
11 Apr,16:00:02,www.bijt.net,27,104.171.226.68,146.865,147.299,146.593
11 Apr,16:00:02,www.bijt.net,28,172.80.0.167,145.809,145.845,145.930
11 Apr,16:00:02,www.ntua.gr,1,192.168.25.1,0.644,0.567,0.651
11 Apr,16:00:02,www.ntua.gr,2,139.222.0.1,9.449,12.266,6.325
11 Apr,16:00:02,www.ntua.gr,3,10.0.0.1,4.225,7.208,10.315
11 Apr,16:00:02,www.ntua.gr,4,193.62.92.125,1.347,1.275,1.228
11 Apr,16:00:02,www.ntua.gr,5,10.11.1.0,1.567,1.522,1.592
11 Apr,16:00:02,www.ntua.gr,6,146.97.141.116,4.297,4.349,4.302
11 Apr,16:00:02,www.ntua.gr,7,146.97.38.49,4.803,4.940,4.878
11 Apr,16:00:02,www.ntua.gr,8,146.97.33.5,5.480,5.203,5.482
11 Apr,16:00:02,www.ntua.gr,14,62.40.124.43,50.423,50.581,50.448
11 Apr,16:00:02,www.ntua.gr,15,62.217.100.72,60.093,79.212,59.969
11 Apr,16:00:02,www.ntua.gr,16,62.217.96.169,61.057,61.126,60.858
11 Apr,16:00:02,www.harenet.ad.jp,1,192.168.25.1,0.416,0.401,0.326
11 Apr,16:00:02,www.harenet.ad.jp,2,139.222.0.1,4.064,7.103,10.083
11 Apr,16:00:02,www.harenet.ad.jp,3,10.0.0.1,4.151,7.220,10.228
11 Apr,16:00:02,www.harenet.ad.jp,4,193.62.92.125,1.146,1.257,1.190
11 Apr,16:00:02,www.harenet.ad.jp,5,10.11.1.0,1.399,1.355,1.311
11 Apr,16:00:02,www.harenet.ad.jp,6,146.97.141.116,4.134,4.211,4.130
11 Apr,16:00:02,www.harenet.ad.jp,7,146.97.38.49,4.514,4.444,4.665
11 Apr,16:00:02,www.harenet.ad.jp,8,146.97.33.61,4.500,5.085,5.030
11 Apr,16:00:02,www.harenet.ad.jp,9,146.97.35.194,4.981,4.799,4.580
11 Apr,16:00:02,www.harenet.ad.jp,11,62.115.142.244,8.024,7.439,7.322
11 Apr,16:00:02,www.harenet.ad.jp,12,62.115.138.216,6.121,5.025,4.787
11 Apr,16:00:02,www.harenet.ad.jp,13,62.115.133.239,11.706,12.208,11.571
11 Apr,16:00:02,www.harenet.ad.jp,14,62.115.137.5,16.898,21.555,21.350
11 Apr,16:00:02,www.harenet.ad.jp,15,62.115.140.41,163.105,237.009,161.573
11 Apr,16:00:02,www.harenet.ad.jp,16,62.115.137.53,169.683,238.053,238.346
11 Apr,16:00:02,www.harenet.ad.jp,17,62.115.140.25,411.091,225.807,158.531
11 Apr,16:00:02,www.harenet.ad.jp,18,62.115.139.44,228.430,233.170,232.146
11 Apr,16:00:02,www.harenet.ad.jp,19,213.248.82.234,243.309,240.389,238.851
11 Apr,16:00:02,www.harenet.ad.jp,22,211.125.119.106,238.114,263.349,246.178
11 Apr,20:00:01,www.washington.edu,1,192.168.25.1,0.440,0.375,0.317
11 Apr,20:00:01,www.washington.edu,2,139.222.0.1,12.748,15.704,9.448
11 Apr,20:00:01,www.washington.edu,3,10.0.0.1,20.839,11.675,27.808
11 Apr,20:00:01,www.washington.edu,4,193.62.92.125,1.467,1.415,1.363
11 Apr,20:00:01,www.washington.edu,5,10.11.1.0,1.468,1.416,1.365
11 Apr,20:00:01,www.washington.edu,6,146.97.141.116,4.659,4.454,4.455
11 Apr,20:00:01,www.washington.edu,7,146.97.38.49,5.399,4.680,4.556
11 Apr,20:00:01,www.washington.edu,8,146.97.33.5,5.190,5.095,5.043
11 Apr,20:00:01,www.washington.edu,11,62.40.125.18,76.679,76.243,76.176
11 Apr,20:00:01,www.washington.edu,12,163.253.1.116,147.863,147.545,147.289
11 Apr,20:00:01,www.washington.edu,13,163.253.1.107,146.344,147.400,146.410
11 Apr,20:00:01,www.washington.edu,14,163.253.1.139,147.247,147.109,147.013
11 Apr,20:00:01,www.washington.edu,15,163.253.2.17,147.599,147.292,147.503
11 Apr,20:00:01,www.washington.edu,16,163.253.2.74,146.589,146.539,146.544
11 Apr,20:00:01,www.washington.edu,17,163.253.1.245,148.460,146.736,146.685
11 Apr,20:00:01,www.washington.edu,18,163.253.1.242,147.627,147.047,147.045
11 Apr,20:00:01,www.washington.edu,19,163.253.1.171,147.942,146.793,146.748
11 Apr,20:00:01,www.washington.edu,20,163.253.1.157,147.357,147.350,147.377
11 Apr,20:00:01,www.washington.edu,21,64.57.28.54,145.261,145.354,145.298
11 Apr,20:00:01,www.washington.edu,25,128.95.0.66,148.054,146.130,146.081
11 Apr,20:00:01,www.bijt.net,1,192.168.25.1,0.662,0.602,0.532
11 Apr,20:00:01,www.bijt.net,2,139.222.0.1,24.531,37.666,12.863
11 Apr,20:00:01,www.bijt.net,3,10.0.0.1,4.351,7.270,10.615
11 Apr,20:00:01,www.bijt.net,4,193.62.92.125,1.486,1.444,1.400
11 Apr,20:00:01,www.bijt.net,5,10.11.1.0,1.594,1.515,1.466
11 Apr,20:00:01,www.bijt.net,6,146.97.141.116,4.340,4.338,4.270
11 Apr,20:00:01,www.bijt.net,7,146.97.38.49,4.536,4.725,4.653
11 Apr,20:00:01,www.bijt.net,9,146.97.35.194,4.610,5.026,4.565
11 Apr,20:00:01,www.bijt.net,10,212.187.216.237,4.773,4.850,5.297
11 Apr,20:00:01,www.bijt.net,14,154.54.75.150,5.883,5.821,5.791
11 Apr,20:00:01,www.bijt.net,15,154.54.94.45,74.206,75.997,79.720
11 Apr,20:00:01,www.bijt.net,16,154.54.169.222,79.132,83.908,79.079
11 Apr,20:00:01,www.bijt.net,17,154.54.169.197,82.793,87.147,87.298
11 Apr,20:00:01,www.bijt.net,18,154.54.6.221,93.673,93.653,93.467
11 Apr,20:00:01,www.bijt.net,19,154.54.165.133,104.914,100.081,100.269
11 Apr,20:00:01,www.bijt.net,20,154.54.31.93,115.986,116.222,116.292
